Id;Nome;Latitude;Longitude
12050;Rampa Sul - Astolfo Dutra;-21,3209;-42,8784
10871;Rampa Sul Itapecerica;-20,5042;-45,1383
11453;Rampa Sul Piranguinho;-22,416;-45,5316
10070;Rampa Sul-Paraisópolis;-22,5276;-45,7866
11209;Rampa São Caetano;-21,0327;-44,1965
11698;Rampa São Lourenço;-22,0776;-45,0738
11140;Rampa Vale do Japão ;-21,3056;-43,5451
10525;Rampa Vale do Sol ;-21,6376;-45,4967
12099;Rampa Xambura;-20,6572;-46,5316
10556;Rampa Xambura;-20,565;-46,4143
10198;Rampa cuparaque (gledson );-18,9661;-41,0748
9917;Rampa da Bela;-19,3375;-41,5538
11367;Rampa da Cemig;-19,944;-44,4339
11195;Rampa da Mucambo;-19,2754;-44,8737
10734;Rampa da Placa Manhuaçu;-20,252;-42,0426
10584;Rampa da Trindade;-18,7351;-41,4595
10415;Rampa da Usina-Ervalia;-20,9118;-42,655
11892;Rampa das antenas (serra do lenheiro);-21,1541;-44,2994
9675;Rampa de Boa Esperança;-21,1909;-45,5493
11045;Rampa de Candidópolis;-19,7197;-43,2161
10917;Rampa de Dionisio;-19,8624;-42,8379
10476;Rampa de Espera Feliz;-20,6675;-41,8946
11221;Rampa de Imbiruçu;-20,1731;-41,4175
11390;Rampa de Itambacuri- MG;-18,0306;-41,682
9612;Rampa de Lavras Minas Gerais;-21,3236;-45,0071
9637;Rampa de Lavras Minas Gerais;-21,2267;-44,9899
9259;Rampa de Rochedo de Minas;-21,6597;-42,9924
9280;Rampa de Tuiutinga;-21,0932;-42,7285
10275;Rampa de Tuiutinga;-21,066;-42,7094
10794;Rampa do Areado - Lajinha MG;-20,1954;-41,6538
9965;Rampa do Carrapato;-22,289;-45,4304
10057;Rampa do Container - S,J,da Mata;-21,9359;-45,9502
10450;Rampa do Cristo;-22,2171;-45,9633
9719;Rampa do Cruzeiro;-20,6945;-45,9161
10896;Rampa do Cruzeiro;-22,6085;-45,6246
11419;Rampa do Cruzeiro - Pimenta MG;-20,5562;-45,8702
11960;Rampa do Danda Itamonte mg;-22,2707;-44,9027
10069;Rampa do Expominas;-21,8081;-43,4452
9579;Rampa do Gaucho;-21,0319;-42,9912
11123;Rampa do Guru;-20,0687;-45,0461
11265;Rampa do Guru;-20,1475;-44,9338
10419;Rampa do Inóspito;-22,3724;-45,7983
11377;Rampa do Jhon;-20,1355;-45,0182
11672;Rampa do Marco Tulio;-22,0022;-44,6538
10136;Rampa do Megalito;-22,6078;-46,3818
9468;Rampa do Meio;-20,4506;-45,2947
11613;Rampa do Retiro Imbiruçu;-20,1688;-41,394
11217;Rampa do Romeu;-22,6624;-46,0187
10279;Rampa do Saguí;-20,3766;-42,0248
9746;Rampa do São Domingos do Prata ;-19,827;-42,9423
11600;Rampa do TANA;-19,9098;-41,4726
11744;Rampa do titio;-22,3551;-44,889
10792;Rampa dos Tavares - Alto Jequitibá MG;-20,4451;-41,9224
10416;Rampa leste morro das antenas ;-21,5423;-42,9627
11478;Rampa norte;-21,746;-46,5484
12022;Rapa Pedra Areada;-22,1825;-45,4389
8980;Raul Soares -  BOACHÁ;-20,0614;-42,3921
10534;Região do Manhuaçu;-20,2703;-42,2132
9935;Renovação;-16,7828;-43,9075
9516;Retiro ;-21,7815;-43,3058
10906;Ribeirão Vermelho;-21,178;-45,0546
9823;SAO DOMINGOS - CONGONHAL ;-22,1269;-46,0421
8845;SAO LOURENCO;-22,0994;-45,0664
10035;SERRA ;-19,35;-42,568
10197;SERRA DA CORUJA;-16,5341;-41,5294
10375;Salinas - Morro das Torres - Rampa do Ralador;-16,1343;-42,2706
11009;Samuka 112;-19,5383;-42,3477
8977;Santa Rita;-22,1817;-45,7429
