;ID_voo;Data;kmOLC;Pontuacao_OLC;local_voo;duracao;Espaco_aereo;Piloto;Categoria;Vela;Data_Coleta;Voo_data_valido;Voo_rampa_valida
1588;605919;28/05/2022;6.8;10.21;Alfredo Chaves ;0:58;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;True
1589;531075;23/07/2021;6.8;10.2;RICO BRITTO MONTES CLAROS ;0:24;False;Filipe Perini ;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1590;540987;21/08/2021;6.8;10.2;RICO BRITTO MONTES CLAROS ;0:27;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1591;510671;15/05/2021;6.8;10.2;Pancas ;0:26;False;Filipe Perini ;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1592;659249;08/01/2023;6.8;10.17;Rampa do Mirante ;0:23;False;Thiago Azevedo;Sport;BGD - Cure 2;2023-04-16;True;True
1593;613043;25/06/2022;6.8;10.17;Santa Teresa ;0:33;False;Luiz Furbino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1594;541240;28/08/2021;6.8;10.12;Santa Teresa ;0:21;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;True
1595;405956;12/07/2019;6.7;10.07;Pancas ;0:47;False;Aloisio de Almeida ;Sport Lite;Sol - Sycross;2023-04-16;False;True
1596;551632;03/10/2021;5.0;10.07;Pr;0:32;False;Vinicius Barbarioli;Sport;Triple Seven - Queen 2;2023-04-16;False;True
1597;520509;06/06/2021;5.0;10.05;Pancas ;0:39;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1598;644663;29/10/2022;6.7;10.02;Santa Teresa ;0:25;False;Luiz Furbino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1599;640791;10/09/2022;6.7;10.01;Pancas ;0:37;False;Leandro Schmidt;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1600;602527;25/04/2022;6.7;10.01;Rampa do Camilo Pansini ;0:22;False;Thiago Azevedo;Sport;BGD - Cure 2;2023-04-16;False;True
1601;603389;21/05/2022;6.7;9.99;Alfredo Chaves ;0:18;False;Rubens Schunck;Sport;Advance - Sigma 11;2023-04-16;False;True
1602;611831;10/06/2022;6.6;9.96;Rampa SAO LU;0:14;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;False
1603;596601;12/03/2022;6.6;9.95;Pancas ;0:21;False;Aloisio de Almeida ;Sport Lite;Sol - Sycross;2023-04-16;False;True
1604;428796;19/01/2020;6.6;9.94;Rampa Adilson da Pedra ;0:57;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;False
1605;662422;15/08/2021;6.6;9.92;RICO BRITTO MONTES CLAROS ;1:36;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1606;577347;12/12/2021;6.6;9.92;Vila Val;1:08;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;True
1607;625338;05/08/2022;6.6;9.91;Alto Lagoa ;0:24;False;Adelso Boecker;Open;Flow - Xc Racer;2023-04-16;False;False
1608;680712;05/04/2023;6.6;9.91;Itabira ;1:00;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;True;True
1609;402221;20/07/2019;6.6;9.9;Rampa de Ub;0:13;False;Petterson Mareto;Sport;Ozone - Delta 2;2023-04-16;False;True
1610;623016;27/03/2022;5.6;9.89;Santa Teresa ;0:22;False;Andre Stavrakas;Sport;Flow - Fusion;2023-04-16;False;True
1611;679239;26/03/2023;6.6;9.89;Raul Soares ;0:50;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;False;True
1612;634344;10/09/2022;6.6;9.83;Santa Teresa ;0:23;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1613;678114;28/03/2023;6.5;9.82;RICO BRITTO MONTES CLAROS ;0:56;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1614;662377;24/05/2022;6.5;9.81;RICO BRITTO MONTES CLAROS ;0:24;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1615;634597;27/08/2022;6.5;9.81;Rampa Cleiton ;0:24;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;False
1616;662370;22/01/2022;6.5;9.81;RICO BRITTO MONTES CLAROS ;0:42;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1617;599399;23/10/2021;6.5;9.8;Alfredo Chaves ;0:56;False;Bruno Mazzei;Sport;Phi - Allegro Light;2023-04-16;False;True
1618;679238;26/03/2023;6.5;9.8;Raul Soares ;0:37;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;False;True
1619;606628;21/04/2022;6.5;9.78;Santa Teresa ;0:35;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1620;652678;09/12/2022;1.5;9.78;Itabira ;0:03;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;False;True
1621;681951;11/04/2023;6.5;9.76;Pico do Ibituruna ;0:18;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1622;681899;11/04/2023;6.5;9.72;Pico do Ibituruna ;0:16;False;Adelso Boecker;Open;Flow - Xc Racer;2023-04-16;True;True
1623;625918;07/08/2022;6.5;9.72;Rampa dos Plantikow ;0:21;False;Marjo Lemos;Sport;Sol - LT 2;2023-04-16;False;True
1624;604686;22/05/2022;6.5;9.72;Alfredo Chaves ;0:43;False;Luiz Furbino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1625;596789;21/04/2022;4.9;9.71;Vila Val;0:28;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1626;646208;07/11/2022;2.1;9.69;Mariana ;0:32;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;False;True
1627;681212;01/04/2023;6.5;9.68;Pico do Ibituruna ;0:15;False;Michel Pinheiro;Open;Flow - Spectra 2;2023-04-16;True;True
1628;673190;12/03/2023;6.4;9.66;Baixo Guandu ;0:22;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
